"id","event_id","lang","title","teaser","content"
271,136,ru,Лекция-обзор «Картотеки отдела научной информации в структуре справочно-информационного аппарата РГБИ»,"Систему картотек РГБИ, которая  формировалась в 1930 - 1994 годах, сегодня заменили базы данных Отдела научной информации «Статьи» и «Драматургия», доступные пользователям через Интернет.","<p>Систему картотек РГБИ, которая &nbsp;формировалась в 1930 - 1994 годах, сегодня заменили базы данных Отдела научной информации &laquo;Статьи&raquo; и &laquo;Драматургия&raquo;, доступные пользователям через Интернет.</p>
<p>Сегодня базы данных отдела научной информации РГБИ включают около 20 картотек, охватывающих все отрасли культуры и искусства. В картотеках отражена литература из журналов на русском и иностранных языках, как хранящихся в фондах РГБИ, так и отсутствующих в нем.</p>
<p>Наиболее подробно представлена литература по театру, в том числе по постановкам произведений российских драматургов и композиторов за рубежом. На лекции будут освещены особенности структуры каждой картотеки, примеры их использования в текущей библиографической практике.</p>
<p>Обзор проводит главный библиограф Ирина Борисовна Титунова.</p>"
272,136,en,lecture,lecture,<p>lecture</p>
273,137,ru,Книжно-иллюстративные выставки из цикла «Юбилеи года» в сентябре,"Отдел Абонемента РГБИ проводит в сентябре выставки посвященные юбилеям: Сергея Донатовича Довлатова, Эдварда Станиславовича Радзинского, Дмитрия Дмитриевича Шостаковича","<p>Отдел Абонемента РГБИ проводит в сентябре следующие выставки, посвященные :</p>
<ul>
<li>75-летию со дня рождения писателя , журналиста Сергея Донатовича Довлатова (1941-1990)</li>
<li>80-летию писателя, драматурга, сценариста, телеведущего Эдварда Станиславовича Радзинскоого</li>
<li>110 летию со дня рождения&nbsp; великого композитора Дмитрия Дмитриевича Шостаковича (1906-1975)</li>
</ul>"
274,137,en,book exhibition,book exhibition,<p>book exhibition</p>
275,138,ru,Творческая встреча с кинорежиссером Сергеем Урсуляком,Творческая встреча с кинорежиссером Сергеем Урсуляком,"<p style=""text-align: justify; text-indent: 25px;"">Урсуляк Сергей Владимирович - режиссёр, сценарист, продюсер, актёр, телеведущий.</p>
<p style=""text-align: justify; text-indent: 25px;"">Широкую известность и зрительское признание принес телевизионный сериал &laquo;Ликвидация&raquo;, вышедший на экраны в 2007 году. Не меньший успех имели и телевизионные сериалы &laquo;Жизнь и судьба&raquo;, &laquo;Тихий Дон&raquo;.</p>
<p style=""text-align: justify; text-indent: 25px;"">Его работы были отмечены кинопремиями &laquo;Ника&raquo;, призами кинофестивалей, государственными премиями.</p>"
276,138,en,  ,   ,<p>&nbsp;&nbsp;</p>
277,139,ru,Творческая встреча с Александром Адабашьяном,Творческая встреча с Александром Адабашьяном,"<p style=""text-align: justify; text-indent: 25px;"">Встреча с известным актером, сценаристом и кинохудожником Александром Адабашьяном. На его счету около 50 актерских киноработ, более 25 сценарных, 2 режиссерских фильма, в 16-ти работал художником. Человек многогранных талантов, успевший даже стать постановщиком двух оперных спектаклей в Мариинском театре и Ла Скала. &nbsp;</p>"
278,139,en,  ,  ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
279,140,ru,Концерт «Духовая музыка» из цикла «Молодые исполнители»,Концерт «Духовая музыка» из цикла «Молодые исполнители»,"<p style=""text-align: justify; text-indent: 25px;"">В рамках цикла &laquo;Молодые исполнители&raquo; состоится концерт студентов Российской академии музыки (РАМ) им. Гнесиных. Исполнители &ndash; студенты кафедры деревянных духовых инструментов, класс профессора Л.В. Кондакова. Студенты РАМ им. Гнесиных продемонстрируют свое мастерство, исполнив два квинтета для деревянных духовых инструментов композиторов Франца Данци и Пауля Хиндемита, а также сольные сочинения для флейты, гобоя, кларнета, фагота, валторны.</p>"
280,140,en,   ,   ,<p>&nbsp;&nbsp;</p>
281,141,ru,Спектакль на двоих Театра «У Никитских ворот» «Красный уголок»,Спектакль на двоих Театра «У Никитских ворот» «Красный уголок»,"<p style=""text-align: justify; text-indent: 25px;""><strong>Автор пьесы</strong>: Марк Розовский.</p>
<p style=""text-align: justify; text-indent: 25px;""><strong>Режиссер-постановщик</strong>: Марк Розовский.</p>
<p style=""text-align: justify; text-indent: 25px;""><strong>Исполнители</strong>: актрисы Светлана Новикова, Светлана Туникова.</p>
<p style=""text-align: justify; text-indent: 25px;"">Это драма двух похожих друг на друга своей неустроенностью женских одиноких судеб, прячущихся за маски.</p>"
282,141,en,   ,   ,<p>&nbsp;&nbsp;</p>
283,142,ru,Встреча клуба «Книга художника»,Встреча клуба «Книга художника»,"<p>В программе встречи:</p>
<ul>
<li style=""text-align: justify;"">презентация книги Андрея Кузькина &laquo;Право на жизнь&raquo;;</li>
<li style=""text-align: justify;"">презентация новых работ Сергея Якунина &ndash; театрального художника-постановщика, художника авторской книги &laquo;Книги-объекты&raquo;;</li>
<li style=""text-align: justify;"">встреча с художником Алексеем Ершом.</li>
</ul>"
284,142,en,    ,   ,<p>&nbsp;&nbsp;&nbsp;</p>
285,143,ru,Авторская программа Авангарда Леонтьева «Пушкин. Участь моя решена»,Авторская программа Авангарда Леонтьева «Пушкин. Участь моя решена»,"<p style=""text-align: justify; text-indent: 25px;"">Авангард Леонтьев не только великолепный актер, талантливый режиссер, востребованный преподаватель, но и яркий мастер художественного чтения. Он представит новую авторскую программу, посвященную Пушкину.</p>
<p style=""text-align: justify; text-indent: 25px;"">Его авторские программы отличает серьезный и вдумчивый подход к выбору литературного материала, умение увлечь слушателя в мир характеров и образов своих героев, заставить зримо увидеть картины рассказываемого и донести до каждого зрителя чувства и мысли авторов.</p>"
286,143,en,   ,   ,<p>&nbsp;&nbsp;&nbsp;</p>
287,144,ru,Выставка «Диво Дымковской слободы» из цикла «Пока не забыты. Золотой круг народных промыслов»,Выставка «Диво Дымковской слободы» из цикла «Пока не забыты. Золотой круг народных промыслов»,"<p style=""text-align: justify; text-indent: 25px;"">Выставка знакомит с удивительными произведениями Дымковской слободы, позволяет узнать историю промысла, имена лучших мастеров, его традиции и новаторство.</p>
<p style=""text-align: justify; text-indent: 25px;"">Партнер выставки - Музейно-выставочный центр &laquo;На Спасской&raquo;г. Кирова.</p>
<p style=""text-align: justify; text-indent: 25px;"">В экспозиции &laquo;Диво Дымковской слободы&raquo; представлены открытки XIX века с видами Вятки и изображением её жителей, книги и журналы о промысле из фондов РГБИ.</p>
<p style=""text-align: justify; text-indent: 25px;"">Особенного внимания заслуживает уникальное издание 1917 года &laquo;Вятская глиняная игрушка в рисунках. Раскраска рисунков ручная, яичными красками, точно скопированными с подлинников&raquo; художника, исследователя и &laquo;ангела-хранителя&raquo; дымковской игрушки &ndash; А.И. Деньшина.</p>
<p style=""text-align: justify; text-indent: 25px;"">В рамках выставки состоятся мастер-классы ведущих художниц промысла, членов союза художников России &ndash; Л.Г. Ушаковой и Г.Л. Михалицыной.</p>"
288,144,en,   ,   ,<p>&nbsp;&nbsp;</p>
289,145,ru,Книжная выставка «Евгений Евстигнеев. 90 лет со дня рождения»,Книжная выставка «Евгений Евстигнеев. 90 лет со дня рождения»,"<p style=""text-align: justify; text-indent: 25px;"">9 октября исполняется 90 лет со дня рождения выдающегося артиста Евгения Александровича Евстигнеева (1926-1992), который сыграл множество ярких запоминающихся ролей в театрах &laquo;Современник&raquo;, МХАТ и в кино.</p>
<p style=""text-align: justify; text-indent: 25px;"">Выставка из цикла &laquo;Юбилеи года&raquo; из фонда абонемента РГБИ.</p>"
290,145,en,    ,   ,<p>&nbsp;&nbsp;&nbsp;</p>
291,146,ru,Книжная выставка «Меценат Савва Мамонтов»,Книжная выставка «Меценат Савва Мамонтов»,"<p style=""text-align: justify; text-indent: 25px;"">15 октября отмечается 175-летие русского мецената, скульптора и художника, театрального деятеля Саввы Ивановича Мамонтова (1841-1918). Его знаменитый Абрамцевский художественный кружок сыграл огромную роль в судьбах художников Серова, Коровина, Врубеля, Левитана, братьев Васнецовых.</p>
<p style=""text-align: justify; text-indent: 25px;"">&nbsp;Выставка из цикла &laquo;Юбилеи года&raquo; из фонда абонемента РГБИ.</p>"
292,146,en,    ,    ,<p>&nbsp;&nbsp;&nbsp;</p>
293,147,ru,Книжная выставка к 120-летию со дня рождения Евгения Шварца,Книжная выставка к 120-летию со дня рождения Евгения Шварца,"<p style=""text-align: justify; text-indent: 25px;"">120 лет назад, 21 октября родился писатель, драматург, великий сказочник XX века Евгений Львович Шварц (1896-1958) &ndash; мастер эксцентричной, нестандартной прозы и блистательных пьес, наполненных глубоким философским смыслом, изящных и ироничных. По пьесам и сценариям Шварца созданы всеми любимые фильмы &laquo;Золушка&raquo;, &laquo;Обыкновенное чудо&raquo;, &laquo;Убить дракона&raquo;, &laquo;Тень&raquo;.</p>
<p style=""text-align: justify; text-indent: 25px;"">Выставка из цикла &laquo;Юбилеи года&raquo; из фонда абонемента РГБИ.</p>"
294,147,en,    ,   ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
295,148,ru,Презентация книги Е.Р. Беспаловой «Бакст в Париже»,"Искусствовед Е.Р. Беспалова представит свою книгу, посвященную парижскому периоду творчества художника Л.С.Бакста, ","<p>Искусствовед Е.Р. Беспалова представит свою книгу, посвященную парижскому периоду творчества художника Л.С.Бакста, прожившего в столице Франции четверть своей жизни&nbsp; (1910&ndash;1924) и создавшего там большую часть произведений, принесших ему мировую славу. В книге Л.С. Бакст впервые представлен не только как оформитель балетов в &laquo;Русских сезонах&raquo; С.П. Дягилева, но и как сценограф других частных музыкальных антреприз &ndash; Анны Павловой, Иды Рубинштейн, Марии Кузнецовой, а также как декоратор Гранд-опера. В книге освещена работа Л. Бакста в&nbsp; области моды, создания текстильных орнаментов, оформления интерьеров, рассмотрена работа художника над созданием серии монументальных полотен для особняка семейства Ротшильдов.</p>"
296,148,en,lecture,lecture,<p>lecture</p>
297,149,ru,Акция «Ночь искусства»,Акция «Ночь искусства»,"<p style=""text-align: justify; text-indent: 25px;"">В этот вечер библиотека предлагает погрузиться в атмосферу народного творчества.</p>
<p style=""text-align: justify; text-indent: 25px;"">У главного входа РГБИ фольклорный ансамбль &laquo;Подсеваха&raquo; под песни и пляски пригласит всех желающих присоединиться к празднику.</p>
<p style=""text-align: justify; text-indent: 25px;"">В залах РГБИ пришедшие смогут ознакомиться с шедеврами народного творчества и декоративно-прикладного искусства.</p>
<p style=""text-align: justify; text-indent: 25px;"">В Голубом зале РГБИ выставка &laquo;Диво Дымковской слободы&raquo; представит искусство дымковской игрушки, одного из самых известных и старинных промыслов России, получившего всемирное признание. Здесь в 19.00 состоится праздничный концерт русской народной песни, свое мастерство покажут участники ансамбля &laquo;Подсеваха&raquo;.</p>
<p style=""text-align: justify; text-indent: 25px;"">В Большом читальном зале специально для гостей подготовлен открытый просмотр книг &laquo;Тысячи лиц игрушки&raquo;. Широко представлены книги и журналы из фондов РГБИ, посвященные игрушкам и куклам России и других стран мира. Специалисты проведут&nbsp;экскурсию-обзор изданий об изготовлении, коллекциях, мастерах-кукольниках и мастерах игрушки.</p>
<p style=""text-align: justify; text-indent: 25px;"">В этот вечер все желающие узнают об особенностях русской тряпичной куклы &ndash; традиционного элемента основных семейно-бытовых обрядов в русской культуре, и стать участником мастер-класса по изготовлению тряпичных кукол.</p>
<p style=""text-align: justify; text-indent: 25px;"">Для детей и взрослых известный художник Валерий Корчагин проведет мастер-класс по созданию книги художника &laquo;Лесная книга&raquo;. Ведущий расскажет о жанре современного искусства &laquo;Книга художника&raquo;. Участники научатся делать из листа бумаги &laquo;книгу-оригами&raquo; и придумают содержание книги на заданную тему. В мастер-класс также войдет обучение основам коллажа и гербария.</p>
<p style=""text-align: justify; text-indent: 25px;"">Главный гость &laquo;Ночи&raquo; &ndash; известная писательница Людмила Петрушевская прочтет публике свои стихи разных лет. В своем поэтическом творчестве не только традиционную поэтическую форму и верлибр, но и собственный вариант старинного раёшника &ndash; балаганного, скоморошного стиха.</p>
<p style=""text-align: justify; text-indent: 25px;"">В течение всей &laquo;Ночи искусств&raquo; для любителей кино будет идти показ в режиме нон-стоп фильмов известных режиссеров Клода Лелуша и Георгия Данелии. Также посетители смогут побывать на традиционных экскурсиях по зданию библиотеки и хранилищу и познакомиться со старопечатными изданиями XVI&ndash;XVII вв., редкими книгами по искусству, изданиями необычных форм, выдающегося художественного оформления &ndash; с использованием ювелирных украшений.</p>
<p style=""text-align: justify; text-indent: 25px;"">Гостей ждет&nbsp; много&nbsp;приятных сюрпризов.</p>"
298,149,en,   ,    ,<p>&nbsp;&nbsp;&nbsp;</p>
299,150,ru,"Выставка ""Русский городской костюм XIX века""","Выставка ""Русский городской костюм XIX века""","<p style=""text-align: justify; text-indent: 25px;"">Выставка &laquo;Русский городской костюм XIX века&raquo;, подготовленная к Дню народного единства, представляет работы известного художника Игнатия Степановича Щедровского. Художественные критики называли этого графика продолжателем традиций &nbsp;великих мастеров А.Г. Венецианова и А.О. Орловского.</p>
<p style=""text-align: justify; text-indent: 25px;"">На выставке демонстрируются копии литографий &nbsp;из известного альбома &laquo;Сцены из русского народного быта&raquo;, изданного Щедровским в 1839 году. В XIX веке альбом пользовался большой популярностью и неоднократно переиздавался.</p>
<p style=""text-align: justify; text-indent: 25px;"">Зрители смогут по достоинству оценить мастерство известного художника и составить представление об особенностях одежды мастеровых и торговых людей, населявших Санкт-Петербург в XIX столетии.</p>"
