"id","start_date","end_date","address","active","create_date"
215,"2017-05-18 16:00:00.0","2017-05-18 17:30:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2017-04-26 10:38:51.0"
216,"2017-05-18 18:30:00.0","2017-05-18 19:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2017-04-26 10:40:27.0"
217,"2017-05-19 00:00:00.0","2017-04-19 00:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2017-04-26 11:05:13.0"
218,"2017-05-20 14:00:00.0","2017-05-20 16:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2017-04-26 11:11:09.0"
219,"2017-05-26 12:00:00.0","2017-06-26 12:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2017-06-05 11:12:06.0"
220,"2017-05-25 17:00:00.0","2017-05-25 18:00:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2017-05-10 10:14:48.0"
221,"2017-05-05 12:00:00.0","2017-05-25 12:00:00.0","РГБИ, читальный зал № 2",1,"2017-04-26 12:24:06.0"
222,"2017-05-01 12:00:00.0","2017-05-31 12:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1),1,"2017-04-26 12:58:00.0"
223,"2017-06-01 17:00:00.0","2017-06-01 18:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2017-06-05 10:59:18.0"
224,"2017-06-08 18:30:00.0","2017-06-08 21:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2017-06-05 12:00:16.0"
225,"2017-06-15 16:00:00.0","2017-06-15 17:30:00.0","Музей читателя РГБИ (Б. Дмитровка, дом 8/1)",1,"2017-06-05 12:06:54.0"
226,"2017-06-24 14:00:00.0","2017-06-24 17:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2017-06-05 12:11:37.0"
227,"2017-06-01 12:00:00.0","2017-06-30 12:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1),1,"2017-06-05 12:42:49.0"
228,"2017-07-09 11:00:00.0","2017-08-01 18:00:00.0","Читальный зал №2 РГБИ (Б. Дмитровка, д. 8/1)",1,"2017-08-09 14:47:44.0"
229,"2017-07-18 11:00:00.0","2017-08-08 18:00:00.0","Голубой зал  РГБИ  (Б. Дмитровка, д. 8/1)",1,"2017-07-21 11:33:30.0"
230,"2017-07-27 18:00:00.0","2017-07-27 21:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2017-07-21 19:09:37.0"
231,"2017-07-27 16:00:00.0","2017-07-27 18:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2017-07-21 11:51:33.0"
232,"2017-07-01 12:00:00.0","2017-07-31 18:00:00.0",г. Белгород Белгородская областная универсальная научная библиотека,1,"2017-07-21 11:52:58.0"
233,"2017-07-01 11:00:00.0","2017-07-20 18:00:00.0",г. Минск Национальная библиотека Беларуси,1,"2017-07-21 11:53:54.0"
234,"2017-07-01 11:00:00.0","2017-07-31 18:00:00.0","Абонемент РГБИ (ул. Петровские линии, д.1)",1,"2017-07-21 11:55:00.0"
235,"2017-07-01 11:00:00.0","2017-07-31 18:00:00.0","Абонемент РГБИ (ул. Петровские линии, д.1)",1,"2017-07-21 11:55:56.0"
236,"2017-07-01 11:00:00.0","2017-07-31 18:00:00.0","Абонемент РГБИ (ул. Петровские линии, д.1)",1,"2017-07-21 11:56:43.0"
237,"2018-05-30 11:00:00.0","2018-05-30 12:30:00.0","РГБИ,  Музей читателя (Б. Дмитровка, д. 8/1)",1,"2018-04-26 15:26:17.0"
